name,url,tagline,source,circle,candidateType,sourceUrl,published,notes
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""micro SaaS"" launch"
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""indie hacker"" ""revenue"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""build in public"" ""launched"""
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""solo founder"" ""pricing"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""side project"" ""SaaS"" ""users"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""micro SaaS"" launch"
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""indie hacker"" ""revenue"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""build in public"" ""launched"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""solo founder"" ""pricing"""
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""side project"" ""SaaS"" ""users"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""micro SaaS"" launch"
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""indie hacker"" ""revenue"""
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""build in public"" ""launched"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""solo founder"" ""pricing"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""side project"" ""SaaS"" ""users"""
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""micro SaaS"" launch"
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""indie hacker"" ""revenue"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""build in public"" ""launched"""
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""solo founder"" ""pricing"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""side project"" ""SaaS"" ""users"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""micro SaaS"" launch"
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""indie hacker"" ""revenue"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""build in public"" ""launched"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""solo founder"" ""pricing"""
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""side project"" ""SaaS"" ""users"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""micro SaaS"" launch"
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""indie hacker"" ""revenue"""
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""build in public"" ""launched"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""solo founder"" ""pricing"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""side project"" ""SaaS"" ""users"""
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""micro SaaS"" launch"
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""indie hacker"" ""revenue"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""build in public"" ""launched"""
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""solo founder"" ""pricing"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""side project"" ""SaaS"" ""users"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""micro SaaS"" launch"
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""indie hacker"" ""revenue"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""build in public"" ""launched"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""solo founder"" ""pricing"""
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""side project"" ""SaaS"" ""users"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""micro SaaS"" launch"
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""indie hacker"" ""revenue"""
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""build in public"" ""launched"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""solo founder"" ""pricing"""
,,,manual_research,indie_hackers,product,,2026-06-12,"Find from: ""side project"" ""SaaS"" ""users"""
,,,manual_research,indie_hackers,topic,,2026-06-12,"Find from: ""micro SaaS"" launch"
,,,manual_research,saas_founders,topic,,2026-06-12,"Find from: ""SaaS pricing"" ""case study"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""B2B SaaS"" ""onboarding"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""SaaS founder"" ""churn"""
,,,manual_research,saas_founders,topic,,2026-06-12,"Find from: ""PLG"" ""activation"" ""SaaS"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""SaaS"" ""pricing page"" ""launch"""
,,,manual_research,saas_founders,product,,2026-06-12,"Find from: ""SaaS pricing"" ""case study"""
,,,manual_research,saas_founders,topic,,2026-06-12,"Find from: ""B2B SaaS"" ""onboarding"""
