researchId,priority,name,url,tagline,source,circle,candidateType,sourceUrl,published,researchProvider,researchQuery,researchUrl,acceptanceChecklist,notes
2026-06-13-indie_hackers-001,P0,,,,manual_research,indie_hackers,topic,https://x.com/search?q=%22micro%20SaaS%22%20launch&src=typed_query&f=live,2026-06-13,X live search,"""micro SaaS"" launch",https://x.com/search?q=%22micro%20SaaS%22%20launch&src=typed_query&f=live,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""micro SaaS"" launch | Open: X live search | Priority: P0 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-002,P0,,,,manual_research,indie_hackers,product,https://www.google.com/search?q=%22indie%20hacker%22%20%22revenue%22%20after%3A2026-01-01,2026-06-13,Google recent search,"""indie hacker"" ""revenue""",https://www.google.com/search?q=%22indie%20hacker%22%20%22revenue%22%20after%3A2026-01-01,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""indie hacker"" ""revenue"" | Open: Google recent search | Priority: P0 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-003,P0,,,,manual_research,indie_hackers,product,https://hn.algolia.com/?q=%22build%20in%20public%22%20%22launched%22,2026-06-13,HN Algolia,"""build in public"" ""launched""",https://hn.algolia.com/?q=%22build%20in%20public%22%20%22launched%22,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""build in public"" ""launched"" | Open: HN Algolia | Priority: P0 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-004,P0,,,,manual_research,indie_hackers,topic,https://x.com/search?q=%22solo%20founder%22%20%22pricing%22&src=typed_query&f=live,2026-06-13,X live search,"""solo founder"" ""pricing""",https://x.com/search?q=%22solo%20founder%22%20%22pricing%22&src=typed_query&f=live,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""solo founder"" ""pricing"" | Open: X live search | Priority: P0 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-005,P0,,,,manual_research,indie_hackers,product,https://www.google.com/search?q=%22side%20project%22%20%22SaaS%22%20%22users%22%20after%3A2026-01-01,2026-06-13,Google recent search,"""side project"" ""SaaS"" ""users""",https://www.google.com/search?q=%22side%20project%22%20%22SaaS%22%20%22users%22%20after%3A2026-01-01,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""side project"" ""SaaS"" ""users"" | Open: Google recent search | Priority: P0 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-006,P0,,,,manual_research,indie_hackers,product,https://hn.algolia.com/?q=%22micro%20SaaS%22%20launch,2026-06-13,HN Algolia,"""micro SaaS"" launch",https://hn.algolia.com/?q=%22micro%20SaaS%22%20launch,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""micro SaaS"" launch | Open: HN Algolia | Priority: P0 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-007,P0,,,,manual_research,indie_hackers,topic,https://x.com/search?q=%22indie%20hacker%22%20%22revenue%22&src=typed_query&f=live,2026-06-13,X live search,"""indie hacker"" ""revenue""",https://x.com/search?q=%22indie%20hacker%22%20%22revenue%22&src=typed_query&f=live,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""indie hacker"" ""revenue"" | Open: X live search | Priority: P0 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-008,P0,,,,manual_research,indie_hackers,product,https://www.google.com/search?q=%22build%20in%20public%22%20%22launched%22%20after%3A2026-01-01,2026-06-13,Google recent search,"""build in public"" ""launched""",https://www.google.com/search?q=%22build%20in%20public%22%20%22launched%22%20after%3A2026-01-01,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""build in public"" ""launched"" | Open: Google recent search | Priority: P0 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-009,P0,,,,manual_research,indie_hackers,product,https://hn.algolia.com/?q=%22solo%20founder%22%20%22pricing%22,2026-06-13,HN Algolia,"""solo founder"" ""pricing""",https://hn.algolia.com/?q=%22solo%20founder%22%20%22pricing%22,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""solo founder"" ""pricing"" | Open: HN Algolia | Priority: P0 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-010,P0,,,,manual_research,indie_hackers,topic,https://x.com/search?q=%22side%20project%22%20%22SaaS%22%20%22users%22&src=typed_query&f=live,2026-06-13,X live search,"""side project"" ""SaaS"" ""users""",https://x.com/search?q=%22side%20project%22%20%22SaaS%22%20%22users%22&src=typed_query&f=live,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""side project"" ""SaaS"" ""users"" | Open: X live search | Priority: P0 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-011,P2,,,,manual_research,indie_hackers,product,https://www.google.com/search?q=%22micro%20SaaS%22%20launch%20after%3A2026-01-01,2026-06-13,Google recent search,"""micro SaaS"" launch",https://www.google.com/search?q=%22micro%20SaaS%22%20launch%20after%3A2026-01-01,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""micro SaaS"" launch | Open: Google recent search | Priority: P2 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-012,P2,,,,manual_research,indie_hackers,product,https://hn.algolia.com/?q=%22indie%20hacker%22%20%22revenue%22,2026-06-13,HN Algolia,"""indie hacker"" ""revenue""",https://hn.algolia.com/?q=%22indie%20hacker%22%20%22revenue%22,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""indie hacker"" ""revenue"" | Open: HN Algolia | Priority: P2 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-013,P2,,,,manual_research,indie_hackers,topic,https://x.com/search?q=%22build%20in%20public%22%20%22launched%22&src=typed_query&f=live,2026-06-13,X live search,"""build in public"" ""launched""",https://x.com/search?q=%22build%20in%20public%22%20%22launched%22&src=typed_query&f=live,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""build in public"" ""launched"" | Open: X live search | Priority: P2 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-014,P2,,,,manual_research,indie_hackers,product,https://www.google.com/search?q=%22solo%20founder%22%20%22pricing%22%20after%3A2026-01-01,2026-06-13,Google recent search,"""solo founder"" ""pricing""",https://www.google.com/search?q=%22solo%20founder%22%20%22pricing%22%20after%3A2026-01-01,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""solo founder"" ""pricing"" | Open: Google recent search | Priority: P2 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-015,P2,,,,manual_research,indie_hackers,product,https://hn.algolia.com/?q=%22side%20project%22%20%22SaaS%22%20%22users%22,2026-06-13,HN Algolia,"""side project"" ""SaaS"" ""users""",https://hn.algolia.com/?q=%22side%20project%22%20%22SaaS%22%20%22users%22,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""side project"" ""SaaS"" ""users"" | Open: HN Algolia | Priority: P2 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-016,P2,,,,manual_research,indie_hackers,topic,https://x.com/search?q=%22micro%20SaaS%22%20launch&src=typed_query&f=live,2026-06-13,X live search,"""micro SaaS"" launch",https://x.com/search?q=%22micro%20SaaS%22%20launch&src=typed_query&f=live,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""micro SaaS"" launch | Open: X live search | Priority: P2 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-017,P2,,,,manual_research,indie_hackers,product,https://www.google.com/search?q=%22indie%20hacker%22%20%22revenue%22%20after%3A2026-01-01,2026-06-13,Google recent search,"""indie hacker"" ""revenue""",https://www.google.com/search?q=%22indie%20hacker%22%20%22revenue%22%20after%3A2026-01-01,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""indie hacker"" ""revenue"" | Open: Google recent search | Priority: P2 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-018,P2,,,,manual_research,indie_hackers,product,https://hn.algolia.com/?q=%22build%20in%20public%22%20%22launched%22,2026-06-13,HN Algolia,"""build in public"" ""launched""",https://hn.algolia.com/?q=%22build%20in%20public%22%20%22launched%22,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""build in public"" ""launched"" | Open: HN Algolia | Priority: P2 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-019,P2,,,,manual_research,indie_hackers,topic,https://x.com/search?q=%22solo%20founder%22%20%22pricing%22&src=typed_query&f=live,2026-06-13,X live search,"""solo founder"" ""pricing""",https://x.com/search?q=%22solo%20founder%22%20%22pricing%22&src=typed_query&f=live,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""solo founder"" ""pricing"" | Open: X live search | Priority: P2 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-020,P2,,,,manual_research,indie_hackers,product,https://www.google.com/search?q=%22side%20project%22%20%22SaaS%22%20%22users%22%20after%3A2026-01-01,2026-06-13,Google recent search,"""side project"" ""SaaS"" ""users""",https://www.google.com/search?q=%22side%20project%22%20%22SaaS%22%20%22users%22%20after%3A2026-01-01,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""side project"" ""SaaS"" ""users"" | Open: Google recent search | Priority: P2 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-021,P2,,,,manual_research,indie_hackers,product,https://hn.algolia.com/?q=%22micro%20SaaS%22%20launch,2026-06-13,HN Algolia,"""micro SaaS"" launch",https://hn.algolia.com/?q=%22micro%20SaaS%22%20launch,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""micro SaaS"" launch | Open: HN Algolia | Priority: P2 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-022,P2,,,,manual_research,indie_hackers,topic,https://x.com/search?q=%22indie%20hacker%22%20%22revenue%22&src=typed_query&f=live,2026-06-13,X live search,"""indie hacker"" ""revenue""",https://x.com/search?q=%22indie%20hacker%22%20%22revenue%22&src=typed_query&f=live,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""indie hacker"" ""revenue"" | Open: X live search | Priority: P2 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-023,P2,,,,manual_research,indie_hackers,product,https://www.google.com/search?q=%22build%20in%20public%22%20%22launched%22%20after%3A2026-01-01,2026-06-13,Google recent search,"""build in public"" ""launched""",https://www.google.com/search?q=%22build%20in%20public%22%20%22launched%22%20after%3A2026-01-01,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""build in public"" ""launched"" | Open: Google recent search | Priority: P2 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
2026-06-13-indie_hackers-024,P2,,,,manual_research,indie_hackers,product,https://hn.algolia.com/?q=%22solo%20founder%22%20%22pricing%22,2026-06-13,HN Algolia,"""solo founder"" ""pricing""",https://hn.algolia.com/?q=%22solo%20founder%22%20%22pricing%22,real URL | clear audience | one narrow pain | fresh enough or evergreen | solo founder or revenue angle,"Find from: ""solo founder"" ""pricing"" | Open: HN Algolia | Priority: P2 | Accept only if: real URL; clear audience; one narrow pain; fresh enough or evergreen; solo founder or revenue angle"
